ICAO,Name,State/Territory,Country,Timezone
KPIE,St. Petersburg Clearwater International Airport,Florida,United States,America/New_York
ULLI,Pulkovo Airport,,Russia,Europe/Moscow
LFST,Strasbourg Airport,,France,Europe/Paris
TIST,Cyril E. King Airport,,U.S. Virgin Islands,America/St_Thomas
LFTZ,La Mole Airport,,France,Europe/Paris
EDDS,Stuttgart Airport,,Germany,Europe/Berlin
LRSV,Suceava Stefan cel Mare International Airport,,Romania,Europe/Bucharest
CYSB,Sudbury Airport,Ontario,Canada,America/Toronto
YBSU,Sunshine Coast Airport,Queensland,Australia,Australia/Brisbane
KSUN,Friedman Memorial Airport,Idaho,United States,America/Denver
WIOO,Supadio International Airport,,Indonesia,Asia/Jakarta
WARR,Juanda International Airport,,Indonesia,Asia/Jakarta
YSSY,Sydney Kingsford Smith International Airport,New South Wales,Australia,Australia/Sydney
CYQY,Sydney / J.A. Douglas McCurdy Airport,Nova Scotia,Canada,America/Halifax
KSYR,Syracuse Hancock International Airport,New York,United States,America/New_York
OETF,Taif International Airport,,Saudi Arabia,Asia/Riyadh
OETB,Prince Sultan bin Abdulaziz International Airport,,Saudi Arabia,Asia/Riyadh
ZWTC,Tacheng Qianquan Airport,,China,Asia/Shanghai
KTIW,Tacoma Narrows Airport,Washington,United States,America/Los_Angeles
RCMQ,Taichung International Airport / Ching Chuang Kang Air Base,,Taiwan,Asia/Taipei
RCSS,Taipei Songshan International Airport,,Taiwan,Asia/Taipei
RCTP,Taiwan Taoyuan International Airport,,Taiwan,Asia/Taipei
ZBYN,Taiyuan Wusu International Airport,,China,Asia/Shanghai
SPYL,Captain Victor Montes Arias International Airport,,Peru,America/Lima
KTLH,Tallahassee International Airport,Florida,United States,America/New_York
EETN,Lennart Meri Tallinn Airport,,Estonia,Europe/Tallinn
DAAT,Aguenar Hadj Bey Akhamok Airport,,Algeria,Africa/Algiers
KTPA,Tampa International Airport,Florida,United States,America/New_York
MMTM,General Francisco Javier Mina International Airport,,Mexico,America/Mexico_City
GMTT,Tangier Ibn Battuta Airport,,Morocco,Africa/Casablanca
ZBTS,Tangshan,,China,Asia/Shanghai
WIDN,Raja Haji Fisabilillah International Airport,,Indonesia,Asia/Jakarta
MMTP,Tapachula International Airport,,Mexico,America/Mexico_City
WAQQ,Tarakan,,Indonesia,Asia/Makassar
EGNV,Teesside International Airport,,United Kingdom,Europe/London
SBTF,Tefe Airport,,Brazil,America/Boa_Vista
MHTG,Toncontin Airport,,Honduras,America/Tegucigalpa
OIII,Mehrabad International Airport,,Iran,Asia/Tehran
LLBG,Ben Gurion International Airport,,Israel,Asia/Jerusalem
KTEX,Telluride Regional Airport,Colorado,United States,America/Denver
GCXO,Tenerife Norte-Ciudad de La Laguna Airport,,Spain,Atlantic/Canary
GCTS,Tenerife Sur Airport,,Spain,Atlantic/Canary
ZPTC,Tengchong,,China,Asia/Shanghai
SBTE,Senador Petronio Portela Airport,,Brazil,America/Fortaleza
WAMT,Ternate,,Indonesia,Asia/Jayapura
CYXT,Northwest Regional Airport Terrace-Kitimat,British Columbia,Canada,America/Vancouver
KTXK,Texarkana Regional Airport (Webb Field),Arkansas,United States,America/Chicago
EHTX,Texel International Airport,,Netherlands,Europe/Amsterdam
LGTS,Thessaloniki Macedonia International Airport,,Greece,Europe/Athens
TQPF,Clayton J. Lloyd International Airport,,Anguilla,America/Anguilla
KTVF,Thief River Falls Regional Airport,Minnesota,United States,America/Chicago
VVTX,Tho Xuan Airport,,Vietnam,Asia/Bangkok
CYQT,Thunder Bay International Airport,Ontario,Canada,America/Toronto
ZBTJ,Tianjin Binhai International Airport,,China,Asia/Shanghai
MMTJ,General Abelardo L. Rodriguez International Airport,,Mexico,America/Tijuana
LRTR,Timisoara Traian Vuia International Airport,,Romania,Europe/Bucharest
PGWT,Tinian International Airport,,Northern Mariana Islands,Pacific/Saipan
RJTT,Tokyo Haneda International Airport,,Japan,Asia/Tokyo
RJAA,Narita International Airport,,Japan,Asia/Tokyo
KTOL,Eugene F. Kranz Toledo Express Airport,Ohio,United States,America/New_York
MMTO,Adolfo Lopez Mateos International Airport,,Mexico,America/Mexico_City
ZYTN,Tonghua Sanyuanpu Airport,,China,Asia/Shanghai
KTVY,Bolinder Field Tooele Valley Airport,Utah,United States,America/Denver
KFOE,Topeka Regional Airport,Kansas,United States,America/Chicago
CYYZ,Toronto Pearson International Airport,Ontario,Canada,America/Toronto
ENTO,"Sandefjord Airport, Torp",,Norway,Europe/Oslo
MMTC,Francisco Sarabia Tinoco International Airport,,Mexico,America/Mexico_City
TUPJ,Terrance B. Lettsome International Airport,,British Virgin Islands,America/Tortola
LFBO,Toulouse-Blagnac Airport,,France,Europe/Paris
YBTL,Townsville Airport / RAAF Base Townsville,Queensland,Australia,Australia/Brisbane
KTVC,Cherry Capital Airport,Michigan,United States,America/New_York
MYAT,Treasure Cay Airport,,Bahamas,America/Nassau
SAVT,Almirante Marco Andres Zar Airport,,Argentina,America/Catamarca
