ICAO,Name,State/Territory,Country,Timezone
EKYT,Aalborg Airport,,Denmark,Europe/Copenhagen
EKAH,Aarhus Airport,,Denmark,Europe/Copenhagen
OIAA,Abadan Ayatollah Jami International Airport,,Iran,Asia/Tehran
CYXX,Abbotsford International Airport,British Columbia,Canada,America/Vancouver
KABR,Aberdeen Regional Airport,South Dakota,United States,America/Chicago
EGPD,Aberdeen International Airport,,United Kingdom,Europe/London
OEAB,Abha International Airport,,Saudi Arabia,Asia/Riyadh
DIAP,Felix-Houphouet-Boigny International Airport,,Cote D'Ivoire,Africa/Abidjan
KABI,Abilene Regional Airport,Texas,United States,America/Chicago
OMAA,Zayed International Airport,,United Arab Emirates,Asia/Dubai
DNAA,Nnamdi Azikiwe International Airport,,Nigeria,Africa/Lagos
MMAA,General Juan N. Alvarez International Airport,,Mexico,America/Mexico_City
DGAA,Kotoka International Airport,,Ghana,Africa/Accra
PADK,Adak Airport,Alaska,United States,America/Adak
HAAB,Addis Ababa Bole International Airport,,Ethiopia,Africa/Addis_Ababa
YPAD,Adelaide International Airport,South Australia,Australia,Australia/Adelaide
TJBQ,Rafael Hernandez International Airport,,Puerto Rico,America/Puerto_Rico
MMAS,Aguascalientes International Airport,,Mexico,America/Mexico_City
VAAH,Sardar Vallabh Patel International Airport,,India,Asia/Calcutta
KCAK,Akron Canton Regional Airport,Ohio,United States,America/New_York
ZWAK,Aksu Hongqipo Airport,,China,Asia/Shanghai
OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,,Saudi Arabia,Asia/Riyadh
KABY,Southwest Georgia Regional Airport,Georgia,United States,America/New_York
KALB,Albany International Airport,New York,United States,America/New_York
KABQ,Albuquerque International Sunport,New Mexico,United States,America/Denver
ENAL,Alesund Airport,,Norway,Europe/Oslo
HEBA,Alexandria International Airport,,Egypt,Africa/Cairo
HEAX,Alexandria,,Egypt,Africa/Cairo
KAEX,Alexandria International Airport,Louisiana,United States,America/Chicago
KESF,Esler Army Airfield / Esler Regional Airport,Louisiana,United States,America/Chicago
LIEA,Alghero-Fertilia Airport,,Italy,Europe/Rome
DAAG,Houari Boumediene Airport,,Algeria,Africa/Algiers
LEAL,Alicante-Elche Miguel Hernandez Airport,,Spain,Europe/Madrid
YBAS,Alice Springs Airport,Northern Territory,Australia,Australia/Darwin
OESK,Al-Jawf International Airport,,Saudi Arabia,Asia/Riyadh
VIAL,Prayagraj Airport,,India,Asia/Calcutta
VEAB,Prayagraj,,India,Asia/Kolkata
KABE,Lehigh Valley International Airport,Pennsylvania,United States,America/New_York
KAIA,Alliance Municipal Airport,Nebraska,United States,America/Denver
ORNI,Al Najaf International Airport,,Iraq,Asia/Baghdad
KAPN,Alpena County Regional Airport,Michigan,United States,America/New_York
OEPA,Al Qaisumah/Hafr Al Batin Airport,,Saudi Arabia,Asia/Riyadh
ENAT,Alta Airport,,Norway,Europe/Oslo
ZWAT,Altay Xuedu Airport,,China,Asia/Shanghai
OEAO,Al-Ula International Airport,,Saudi Arabia,Asia/Riyadh
KAMA,Rick Husband Amarillo International Airport,Texas,United States,America/Chicago
WAPP,Pattimura International Airport,,Indonesia,Asia/Jayapura
OJAI,Queen Alia International Airport,,Jordan,Asia/Amman
EHAM,Amsterdam Airport Schiphol,,Netherlands,Europe/Amsterdam
PANC,Ted Stevens Anchorage International Airport,Alaska,United States,America/Anchorage
LTAC,Esenboga International Airport,,Turkey,Europe/Istanbul
ZYAS,Anshan Teng'ao Airport / Anshan Air Base,,China,Asia/Shanghai
FMMI,Ivato International Airport,,Madagascar,Indian/Antananarivo
SCFA,Andres Sabella Galvez International Airport,,Chile,America/Santiago
EBAW,Antwerp International Airport (Deurne),,Belgium,Europe/Brussels
NSFA,Faleolo International Airport,,Samoa,Pacific/Apia
KATW,Appleton International Airport,Wisconsin,United States,America/Chicago
SBAR,Aracaju - Santa Maria Airport,,Brazil,America/Fortaleza
OERR,Arar Domestic Airport,,Saudi Arabia,Asia/Riyadh
ESNX,Arvidsjaur Airport,,Sweden,Europe/Stockholm
RJEC,Asahikawa Airport,,Japan,Asia/Tokyo
FHAW,RAF Ascension Island,,"Saint Helena, Ascension And Tristan Da Cunha",Atlantic/St_Helena
KAVL,Asheville Regional Airport,North Carolina,United States,America/New_York
KASE,Aspen-Pitkin County Airport (Sardy Field),Colorado,United States,America/Denver
UACC,Nursultan Nazarbayev International Airport,,Kazakhstan,Asia/Qyzylorda
KAST,Astoria Regional Airport,Oregon,United States,America/Los_Angeles
SGAS,Silvio Pettirossi International Airport,,Paraguay,America/Asuncion
LGAV,Athens Eleftherios Venizelos International Airport,,Greece,Europe/Athens
KATL,Hartsfield Jackson Atlanta International Airport,Georgia,United States,America/New_York
KACY,Atlantic City International Airport,New Jersey,United States,America/New_York
KLEW,Auburn Lewiston Municipal Airport,Maine,United States,America/New_York
NZAA,Auckland International Airport,,New Zealand,Pacific/Auckland
KAGS,Augusta Regional At Bush Field,Georgia,United States,America/New_York
KAUG,Augusta State Airport,Maine,United States,America/New_York
KAUS,Austin Bergstrom International Airport,Texas,United States,America/Chicago
KAVX,Catalina Airport,California,United States,America/Los_Angeles
YAYE,Ayers Rock Connellan Airport,Northern Territory,Australia,Australia/Darwin
ORBI,Baghdad International Airport / New Al Muthana Air Base,,Iraq,Asia/Baghdad
SAZB,Comandante Espora Airport,,Argentina,America/Buenos_Aires
OBBI,Bahrain International Airport,,Bahrain,Asia/Bahrain
LRBM,Maramures International Airport,,Romania,Europe/Bucharest
ZYBS,Changbaishan Airport,,China,Asia/Shanghai
KBKE,Baker City Municipal Airport,Oregon,United States,America/Los_Angeles
KBFL,Meadows Field,California,United States,America/Los_Angeles
WADD,Denpasar I Gusti Ngurah Rai International Airport,,Indonesia,Asia/Makassar
WALL,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,,Indonesia,Asia/Makassar
YBNA,Ballina Byron Gateway Airport,New South Wales,Australia,Australia/Sydney
KBWI,Baltimore/Washington International Thurgood Marshall Airport,Maryland,United States,America/New_York
WITT,Sultan Iskandar Muda International Airport,,Indonesia,Asia/Jakarta
WICC,Husein Sastranegara International Airport,,Indonesia,Asia/Jakarta
VOBL,Kempegowda International Airport Bengaluru,,India,Asia/Calcutta
VTBD,Don Mueang International Airport,,Thailand,Asia/Bangkok
VTBS,Suvarnabhumi Airport,,Thailand,Asia/Bangkok
KBGR,Bangor International Airport,Maine,United States,America/New_York
WAOO,Syamsudin Noor International Airport,,Indonesia,Asia/Makassar
ZPBS,Baoshan Yunrui Airport,,China,Asia/Shanghai
ZBOW,Baotou Donghe International Airport,,China,Asia/Shanghai
LEBL,Josep Tarradellas Barcelona-El Prat Airport,,Spain,Europe/Madrid
KBHB,Hancock County-Bar Harbor Airport,Maine,United States,America/New_York
LIBD,Bari Karol Wojtya International Airport,,Italy,Europe/Rome
SKBQ,Ernesto Cortissoz International Airport,,Colombia,America/Bogota
PABR,Wiley Post Will Rogers Memorial Airport,Alaska,United States,America/Anchorage
LFSB,EuroAirport BaselMulhouseFreiburg,,France,Europe/Paris
ORMM,Basra International Airport,,Iraq,Asia/Baghdad
TKPK,Robert L. Bradshaw International Airport,,Saint Kitts And Nevis,America/St_Kitts
LFKB,Bastia-Poretta International airport,,France,Europe/Paris
WIDD,Hang Nadim International Airport,,Indonesia,Asia/Jakarta
KBTR,Baton Rouge Metropolitan Airport,Louisiana,United States,America/Chicago
KBPT,Jack Brooks Regional Airport,Texas,United States,America/Chicago
ZGBH,Beihai Fucheng Airport,,China,Asia/Shanghai
ZBAA,Beijing Capital International Airport,,China,Asia/Shanghai
ZBAD,Beijing Daxing International Airport,,China,Asia/Shanghai
OLBA,Beirut Rafic Hariri International Airport,,Lebanon,Asia/Beirut
SBBE,Val de Cans/Julio Cezar Ribeiro International Airport,,Brazil,America/Belem
EGAA,Belfast International Airport,,United Kingdom,Europe/London
EGAC,George Best Belfast City Airport,,United Kingdom,Europe/London
LYBE,Belgrade Nikola Tesla Airport,,Serbia,Europe/Belgrade
MZBZ,Philip S. W. Goldson International Airport,,Belize,America/Belize
KBLI,Bellingham International Airport,Washington,United States,America/Los_Angeles
SBCF,Tancredo Neves International Airport,,Brazil,America/Sao_Paulo
KBJI,Bemidji Regional Airport,Minnesota,United States,America/Chicago
HLLB,Benina International Airport,,Libya,Africa/Tripoli
KBEH,Southwest Michigan Regional Airport,Michigan,United States,America/Detroit
LIME,Il Caravaggio International Airport,,Italy,Europe/Rome
ENBR,"Bergen Airport, Flesland",,Norway,Europe/Oslo
EDDB,Berlin Brandenburg Airport,,Germany,Europe/Berlin
KBML,Berlin Regional Airport,New Hampshire,United States,America/New_York
EDDX,Berlin,,Germany,Europe/Berlin
EDDT,Berlin,,Germany,Europe/Berlin
LSZB,Bern Airport,,Switzerland,Europe/Zurich
PABE,Bethel Airport,Alaska,United States,America/Anchorage
LFMU,Beziers Vias airport,,France,Europe/Paris
WABB,Frans Kaisiepo Airport,,Indonesia,Asia/Jayapura
LFBZ,Biarritz Pays Basque airport,,France,Europe/Paris
PABM,Big Mountain Airport,Alaska,United States,America/Anchorage
LEBB,Bilbao Airport,,Spain,Europe/Madrid
KBIL,Billings Logan International Airport,Montana,United States,America/Denver
EKBI,Billund Airport,,Denmark,Europe/Copenhagen
KBGM,Greater Binghamton/Edwin A Link field,New York,United States,America/New_York
KBHM,Birmingham-Shuttlesworth International Airport,Alabama,United States,America/Chicago
EGBB,Birmingham Airport,,United Kingdom,Europe/London
OEBH,Bisha Airport,,Saudi Arabia,Asia/Riyadh
KBIS,Bismarck Municipal Airport,North Dakota,United States,America/Chicago
FWCL,Chileka International Airport,,Malawi,Africa/Blantyre
FABL,Bram Fischer International Airport,,South Africa,Africa/Johannesburg
KBLH,Blythe Airport,California,United States,America/Los_Angeles
ENBO,Bod Airport,,Norway,Europe/Oslo
KBFI,King County International Airport - Boeing Field,Washington,United States,America/Los_Angeles
SKBO,El Dorado International Airport,,Colombia,America/Bogota
KBOI,Boise Air Terminal/Gowen Field,Idaho,United States,America/Denver
LIPE,Bologna Guglielmo Marconi Airport,,Italy,Europe/Rome
TNCB,Flamingo International Airport,,Caribbean Netherlands,America/Curacao
NGTA,Bonriki International Airport,,Kiribati,Pacific/Tarawa
LFBD,BordeauxMerignac Airport,,France,Europe/Paris
KBOS,Boston Logan International Airport,Massachusetts,United States,America/New_York
KBZN,Bozeman Yellowstone International Airport,Montana,United States,America/Denver
KBRD,Brainerd Lakes Regional Airport,Minnesota,United States,America/Chicago
CYBR,Brandon Municipal Airport,Manitoba,Canada,America/Winnipeg
SBBR,Presidente Juscelino Kubitschek International Airport,,Brazil,America/Sao_Paulo
LZIB,M. R. Stefanik Airport,,Slovakia,Europe/Bratislava
FCBB,Maya-Maya International Airport,,Republic Of The Congo,Africa/Brazzaville
EDDW,Bremen Airport,,Germany,Europe/Berlin
LFRB,Brest Bretagne airport,,France,Europe/Paris
TBPB,Grantley Adams International Airport,,Barbados,America/Barbados
LIBR,Brindisi Airport,,Italy,Europe/Rome
YBBN,Brisbane International Airport,Queensland,Australia,Australia/Brisbane
KTRI,Tri-Cities Regional TN/VA Airport,Tennessee,United States,America/New_York
EGGD,Bristol Airport,,United Kingdom,Europe/London
KBKX,Brookings Regional Airport,South Dakota,United States,America/Chicago
YBRM,Broome International Airport,Western Australia,Australia,Australia/Perth
KBRO,Brownsville South Padre Island International Airport,Texas,United States,America/Chicago
KBQK,Brunswick Golden Isles Airport,Georgia,United States,America/New_York
EBBR,Brussels Airport,,Belgium,Europe/Brussels
LROP,Bucharest Henri Coanda International Airport,,Romania,Europe/Bucharest
LHBP,Budapest Liszt Ferenc International Airport,,Hungary,Europe/Budapest
SAEZ,Ezeiza International Airport - Ministro Pistarini,,Argentina,America/Buenos_Aires
SABE,Aeroparque Jorge Newbery,,Argentina,America/Buenos_Aires
KBUF,Buffalo Niagara International Airport,New York,United States,America/New_York
HBBA,Bujumbura Melchior Ndadaye International Airport,,Burundi,Africa/Bujumbura
VVBM,Buon Ma Thuot Airport,,Vietnam,Asia/Saigon
KBUR,Hollywood Burbank Airport,California,United States,America/Los_Angeles
KBYI,Burley Municipal Airport,Idaho,United States,America/Boise
KBTV,Patrick Leahy Burlington International Airport,Vermont,United States,America/New_York
CYDB,Burwash Airport,Yukon,Canada,America/Vancouver
KBTM,Bert Mooney Airport,Montana,United States,America/Denver
LFRK,Caen Carpiquet airport,,France,Europe/Paris
YBCS,Cairns International Airport,Queensland,Australia,Australia/Brisbane
HECA,Cairo International Airport,,Egypt,Africa/Cairo
VECC,Netaji Subhash Chandra Bose International Airport,,India,Asia/Calcutta
CYYC,Calgary International Airport,Alberta,Canada,America/Edmonton
SKCL,Alfonso Bonilla Aragon International Airport,,Colombia,America/Bogota
LFKC,Calvi Sainte Catherine Airport,,France,Europe/Paris
MUCM,Ignacio Agramonte International Airport,,Cuba,America/Havana
MMCP,Ingeniero Alberto Acuna Ongay International Airport,,Mexico,America/Mexico_City
SBKG,Presidente Joao Suassuna Airport,,Brazil,America/Fortaleza
SBCG,Campo Grande Airport,,Brazil,America/Campo_Grande
YSCB,Canberra Airport,Australian Capital Territory,Australia,Australia/Sydney
MMUN,Cancun International Airport,,Mexico,America/Cancun
ZPCW,Cangyuan Washan Airport,,China,Asia/Shanghai
VVCT,Can Tho International Airport,,Vietnam,Asia/Saigon
PCIS,Canton Island Airport,,Kiribati,Pacific/Enderbury
KCGI,Cape Girardeau Regional Airport,Missouri,United States,America/Chicago
FACT,Cape Town International Airport,,South Africa,Africa/Johannesburg
SVMI,Maiquetia Simon Bolivar International Airport,,Venezuela,America/Caracas
SBCV,Caravelas Airport,,Brazil,America/Fortaleza
EGFF,Cardiff International Airport,,United Kingdom,Europe/London
SKCG,Rafael Nunez International Airport,,Colombia,America/Bogota
GMMC,Casablanca,,Morocco,Africa/Casablanca
GMMN,Mohammed V International Airport,,Morocco,Africa/Casablanca
KCPR,Casper-Natrona County International Airport,Wyoming,United States,America/Denver
PLCH,Cassidy International Airport,,Kiribati,Pacific/Kiritimati
LECH,Castellon-Costa Azahar Airport,,Spain,Europe/Madrid
SANC,Coronel Felipe Varela International Airport,,Argentina,America/Catamarca
LICC,Catania-Fontanarossa Airport,,Italy,Europe/Rome
SOCA,Cayenne Felix Eboue Airport,,French Guiana,America/Cayenne
RPVM,Mactan Cebu International Airport,,Philippines,Asia/Manila
KCDC,Cedar City Regional Airport,Utah,United States,America/Denver
KCID,The Eastern Iowa Airport,Iowa,United States,America/Chicago
KCMI,University of Illinois Willard Airport,Illinois,United States,America/Chicago
ZYCX,Changchun,,China,Asia/Shanghai
ZYCC,Changchun Longjia International Airport,,China,Asia/Shanghai
ZGHA,Changsha Huanghua International Airport,,China,Asia/Shanghai
ZSCG,Changzhou Benniu International Airport,,China,Asia/Shanghai
ZYCY,Chaoyang Airport,,China,Asia/Shanghai
SBCH,Serafin Enoss Bertaso Airport,,Brazil,America/Sao_Paulo
KCHS,Charleston International Airport,South Carolina,United States,America/New_York
KCRW,Yeager Airport,West Virginia,United States,America/New_York
YBCV,Charleville Airport,Queensland,Australia,Australia/Brisbane
KCLT,Charlotte Douglas International Airport,North Carolina,United States,America/New_York
KCHO,Charlottesville Albemarle Airport,Virginia,United States,America/New_York
KCHA,Chattanooga Metropolitan Airport (Lovell Field),Tennessee,United States,America/New_York
ZUUU,Chengdu Shuangliu International Airport,,China,Asia/Shanghai
VOMM,Chennai International Airport,,India,Asia/Calcutta
RKTU,Cheongju International Airport/Cheongju Air Base (K-59/G-513),,South Korea,Asia/Seoul
MMCM,Chetumal International Airport,,Mexico,America/Cancun
KCYS,Cheyenne Regional Jerry Olson Field,Wyoming,United States,America/Denver
VTCC,Chiang Mai International Airport,,Thailand,Asia/Bangkok
KMDW,Chicago Midway International Airport,Illinois,United States,America/Chicago
KORD,Chicago O'Hare International Airport,Illinois,United States,America/Chicago
KCIC,Chico Regional Airport,California,United States,America/Los_Angeles
MMCU,General Roberto Fierro Villalobos International Airport,,Mexico,America/Mazatlan
LUKK,Chisinau International Airport,,Moldova,Europe/Chisinau
RJCC,New Chitose Airport,,Japan,Asia/Tokyo
ZUCK,Chongqing Jiangbei International Airport,,China,Asia/Shanghai
VVCA,Chu Lai Airport,,Vietnam,Asia/Saigon
KCVG,Cincinnati Northern Kentucky International Airport,Kentucky,United States,America/New_York
MMCE,Ciudad del Carmen International Airport,,Mexico,America/Mexico_City
MMCS,Abraham Gonzalez International Airport,,Mexico,America/Mazatlan
MMCN,Ciudad Obregon International Airport,,Mexico,America/Hermosillo
KCKB,North Central West Virginia Airport,West Virginia,United States,America/New_York
KCKV,ClarksvilleMontgomery County Regional Airport,Tennessee,United States,America/Chicago
LFLC,Clermont-Ferrand Auvergne airport,,France,Europe/Paris
KCLE,Cleveland Hopkins International Airport,Ohio,United States,America/New_York
YCCY,Cloncurry Airport,Queensland,Australia,Australia/Brisbane
LRCL,Avram Iancu Cluj International Airport,,Romania,Europe/Bucharest
SWKO,Danilson Municipal Airport,,Brazil,America/Boa_Vista
SLCO,Capitan Anibal Arab Airport,,Bolivia,America/La_Paz
SLCB,Jorge Wilsterman International Airport,,Bolivia,America/La_Paz
PACD,Cold Bay Airport,Alaska,United States,America/Anchorage
KCLL,Easterwood Field,Texas,United States,America/Chicago
VCBI,Bandaranaike International Colombo Airport,,Sri Lanka,Asia/Colombo
KCOS,City of Colorado Springs Municipal Airport,Colorado,United States,America/Denver
KCOU,Columbia Regional Airport,Missouri,United States,America/Chicago
KCAE,Columbia Metropolitan Airport,South Carolina,United States,America/New_York
KCSG,Columbus Airport,Georgia,United States,America/New_York
KGTR,Golden Triangle Regional Airport,Mississippi,United States,America/Chicago
KCMH,John Glenn Columbus International Airport,Ohio,United States,America/New_York
SAVC,General Enrique Mosconi International Airport,,Argentina,America/Catamarca
CYQQ,Comox Valley International Airport / CFB Comox,British Columbia,Canada,America/Vancouver
GUCY,Ahmed Sekou Toure International Airport,,Guinea,Africa/Conakry
KCCR,Buchanan Field,California,United States,America/Los_Angeles
KJQF,Concord-Padgett Regional Airport,North Carolina,United States,America/New_York
KCON,Concord Municipal Airport,New Hampshire,United States,America/New_York
VVCS,Con Dao Airport,,Vietnam,Asia/Saigon
DABC,Mohamed Boudiaf International Airport,,Algeria,Africa/Algiers
YBCG,Gold Coast Airport,Queensland,Australia,Australia/Brisbane
EKCH,Copenhagen Kastrup Airport,,Denmark,Europe/Copenhagen
SACO,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,,Argentina,America/Cordoba
PACV,Merle K (Mudhole) Smith Airport,Alaska,United States,America/Anchorage
EICK,Cork International Airport,,Ireland,Europe/Dublin
KCRP,Corpus Christi International Airport,Texas,United States,America/Chicago
SARC,Corrientes Airport,,Argentina,America/Cordoba
KCVO,Corvallis Municipal Airport,Oregon,United States,America/Los_Angeles
DBBB,Cotonou Cadjehoun International Airport,,Benin,Africa/Porto-Novo
MMCZ,Cozumel International Airport,,Mexico,America/Cancun
LRCV,Craiova International Airport,,Romania,Europe/Bucharest
CYXC,Cranbrook/Canadian Rockies International Airport,British Columbia,Canada,America/Edmonton
KCEC,Jack Mc Namara Field Airport,California,United States,America/Los_Angeles
SBCY,Varzea GrandeMarechal Rondon International Airport,,Brazil,America/Campo_Grande
MMCL,Bachigualato Federal International Airport,,Mexico,America/Mazatlan
SBCT,Curitiba-Afonso Pena International Airport,,Brazil,America/Sao_Paulo
SPZO,Alejandro Velasco Astete International Airport,,Peru,America/Lima
KCTB,Cut Bank International Airport,Montana,United States,America/Denver
RKTN,Daegu International Airport,,South Korea,Asia/Seoul
GOBD,Blaise Diagne International Airport,,Senegal,Africa/Dakar
GOOY,Leopold Sedar Senghor International Airport,,Senegal,Africa/Dakar
VVDL,Lien Khuong Airport,,Vietnam,Asia/Saigon
ZYTL,Dalian Zhoushuizi International Airport,,China,Asia/Shanghai
KDFW,Dallas Fort Worth International Airport,Texas,United States,America/Chicago
KDAL,Dallas Love Field,Texas,United States,America/Chicago
OSDI,Damascus International Airport,,Syria,Asia/Damascus
OEDF,King Fahd International Airport,,Saudi Arabia,Asia/Riyadh
VVDN,Da Nang International Airport,,Vietnam,Asia/Saigon
ZYDD,Dandong Langtou International Airport,,China,Asia/Shanghai
ZYDQ,Daqing Sartu Airport,,China,Asia/Shanghai
HTDA,Julius Nyerere International Airport,,Tanzania,Africa/Dar_es_Salaam
YPDN,Darwin International Airport / RAAF Darwin,Northern Territory,Australia,Australia/Darwin
ZBDT,Datong Yungang International Airport,,China,Asia/Shanghai
KDAB,Daytona Beach International Airport,Florida,United States,America/New_York
KDAY,James M. Cox Dayton International Airport,Ohio,United States,America/New_York
PASC,Deadhorse Airport,Alaska,United States,America/Anchorage
CYDF,Deer Lake Airport,Newfoundland And Labrador,Canada,America/St_Johns
VIDP,Indira Gandhi International Airport,,India,Asia/Calcutta
PABI,Allen Army Airfield,Alaska,United States,America/Anchorage
KDTA,Delta Municipal Airport,Utah,United States,America/Denver
KDEN,Denver International Airport,Colorado,United States,America/Denver
KDSM,Des Moines International Airport,Iowa,United States,America/Chicago
KDTW,Detroit Metropolitan Wayne County Airport,Michigan,United States,America/New_York
KDVL,Devils Lake Regional Airport,North Dakota,United States,America/Chicago
OEDR,King Abdulaziz Air Base,,Saudi Arabia,Asia/Riyadh
VGHS,Hazrat Shahjalal International Airport,,Bangladesh,Asia/Dhaka
PADL,Dillingham Airport,Alaska,United States,America/Anchorage
DTTJ,Djerba Zarzis International Airport,,Tunisia,Africa/Tunis
HDAM,Djibouti-Ambouli Airport,,Djibouti,Africa/Djibouti
OTHH,Hamad International Airport,,Qatar,Asia/Qatar
EGCN,"Doncaster, Sheffield",,United Kingdom,Europe/London
VVDH,Dong Hoi Airport,,Vietnam,Asia/Saigon
ZSDY,Dongying Shengli Airport,,China,Asia/Shanghai
KDHN,Dothan Regional Airport,Alabama,United States,America/Chicago
FKKD,Douala International Airport,,Cameroon,Africa/Douala
OMDW,Al Maktoum International Airport,,United Arab Emirates,Asia/Dubai
OMDB,Dubai International Airport,,United Arab Emirates,Asia/Dubai
LSMD,Dubendorf Air Base,,Switzerland,Europe/Zurich
EIDW,Dublin Airport,,Ireland,Europe/Dublin
KDBQ,Dubuque Regional Airport,Iowa,United States,America/Chicago
KDLH,Duluth International Airport,Minnesota,United States,America/Chicago
ZLDH,Dunhuang Mogao International Airport,,China,Asia/Shanghai
KDRO,Durango La Plata County Airport,Colorado,United States,America/Denver
MMDO,General Guadalupe Victoria International Airport,,Mexico,America/Mexico_City
EDDL,Dusseldorf Airport,,Germany,Europe/Berlin
FMCZ,Dzaoudzi Pamandzi International Airport,,Mayotte,Indian/Mayotte
PASY,Eareckson Air Station,Alaska,United States,America/Adak
KEAU,Chippewa Valley Regional Airport,Wisconsin,United States,America/Chicago
EGPH,Edinburgh Airport,,United Kingdom,Europe/London
CYEG,Edmonton International Airport,Alberta,Canada,America/Edmonton
EHEH,Eindhoven Airport,,Netherlands,Europe/Amsterdam
SAWC,El Calafate - Commander Armando Tola International Airport,,Argentina,America/Argentina/Rio_Gallegos
HKEL,Eldoret International Airport,,Kenya,Africa/Nairobi
KEKO,Elko Regional Airport,Nevada,United States,America/Los_Angeles
KELM,Elmira Corning Regional Airport,New York,United States,America/New_York
KELP,El Paso International Airport,Texas,United States,America/Denver
KELY,Ely Airport Yelland Field,Nevada,United States,America/Los_Angeles
YEML,Emerald Airport,Queensland,Australia,Australia/Brisbane
ZHES,Enshi Xujiaping Airport,,China,Asia/Shanghai
HUEN,Entebbe International Airport,,Uganda,Africa/Kampala
KEPH,Ephrata Municipal Airport,Washington,United States,America/Los_Angeles
KERI,Erie International Tom Ridge Field,Pennsylvania,United States,America/New_York
KESC,Delta County Airport,Michigan,United States,America/New_York
SAVE,Esquel Brigadier Antonio Parodi International Airport,,Argentina,America/Catamarca
EDLE,Essen-Mulheim Airport,,Germany,Europe/Berlin
KEUG,Eugene Airport,Oregon,United States,America/Los_Angeles
KACV,California Redwood Coast-Humboldt County Airport,California,United States,America/Los_Angeles
KEVV,Evansville Regional Airport,Indiana,United States,America/Chicago
PAFA,Fairbanks International Airport,Alaska,United States,America/Anchorage
KFRM,Fairmont Municipal Airport,Minnesota,United States,America/Chicago
KFAR,Hector International Airport,North Dakota,United States,America/Chicago
LPFR,Faro - Gago Coutinho International Airport,,Portugal,Europe/Lisbon
KXNA,Northwest Arkansas National Airport,Arkansas,United States,America/Chicago
KFYV,Drake Field,Arkansas,United States,America/Chicago
KFHB,Fernandina Beach,Florida,United States,America/New_York
KFIT,Fitchburg Municipal Airport,Massachusetts,United States,America/New_York
KFLG,Flagstaff Pulliam Airport,Arizona,United States,America/Phoenix
KFNT,Bishop International Airport,Michigan,United States,America/New_York
LIRQ,"Florence Airport, Peretola",,Italy,Europe/Rome
KFLO,Florence Regional Airport,South Carolina,United States,America/New_York
SBFL,Hercilio Luz International Airport,,Brazil,America/Sao_Paulo
SWOB,Fonte Boa Airport,,Brazil,America/Boa_Vista
SARF,Formosa National Airport,,Argentina,America/Cordoba
SBFZ,Pinto Martins International Airport,,Brazil,America/Fortaleza
TFFF,Martinique Aime Cesaire International Airport,,Martinique,America/Martinique
KFOD,Fort Dodge Regional Airport,Iowa,United States,America/Chicago
KFLL,Fort Lauderdale Hollywood International Airport,Florida,United States,America/New_York
CYMM,Fort McMurray International Airport,Alberta,Canada,America/Edmonton
KRSW,Southwest Florida International Airport,Florida,United States,America/New_York
CYYE,Fort Nelson Airport,British Columbia,Canada,America/Vancouver
KFPR,Treasure Coast International Airport,Florida,United States,America/New_York
CYFS,Fort Simpson Airport,Northwest Territories,Canada,America/Edmonton
KFSM,Fort Smith Regional Airport,Arkansas,United States,America/Chicago
CYXJ,Fort St John / North Peace Regional Airport,British Columbia,Canada,America/Dawson_Creek
KFWA,Fort Wayne International Airport,Indiana,United States,America/New_York
KFTW,Fort Worth Meacham International Airport,Texas,United States,America/Chicago
KFFT,Capital City Airport,Kentucky,United States,America/New_York
EDDF,Frankfurt Main Airport,,Germany,Europe/Berlin
CYFC,Fredericton International Airport,New Brunswick,Canada,America/Halifax
MYGF,Grand Bahama International Airport,,Bahamas,America/Nassau
GFLL,Lungi International Airport,,Sierra Leone,Africa/Freetown
KFAT,Fresno Yosemite International Airport,California,United States,America/Los_Angeles
EDNY,Bodensee Airport Friedrichshafen,,Germany,Europe/Berlin
KVPS,Destin-Fort Walton Beach Airport,Florida,United States,America/Chicago
RJFF,Fukuoka Airport,,Japan,Asia/Tokyo
ZSFY,Fuyang Xiguan Airport,,China,Asia/Shanghai
ZSFZ,Fuzhou Changle International Airport,,China,Asia/Shanghai
KGNV,Gainesville Regional Airport,Florida,United States,America/New_York
PAGA,Edward G. Pitka Sr Airport,Alaska,United States,America/Anchorage
CYQX,Gander International Airport,Newfoundland And Labrador,Canada,America/St_Johns
ZSGZ,Ganzhou Huangjin Airport,,China,Asia/Shanghai
OEGS,Prince Naif bin Abdulaziz International Airport,,Saudi Arabia,Asia/Riyadh
EPGD,Gdansk Lech Waesa Airport,,Poland,Europe/Warsaw
LSGG,Geneva International Airport,,Switzerland,Europe/Paris
LIMJ,Genoa Cristoforo Colombo Airport,,Italy,Europe/Rome
MYEF,Exuma International Airport,,Bahamas,America/Nassau
SYCJ,Cheddi Jagan International Airport,,Guyana,America/Guyana
VVDB,Dien Bien Phu Airport,,Vietnam,Asia/Saigon
LXGB,Gibraltar Airport,,Gibraltar,Europe/Gibraltar
LEGE,Girona-Costa Brava Airport,,Spain,Europe/Madrid
OEGN,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,,Saudi Arabia,Asia/Riyadh
KGGW,Glasgow Valley County Airport Wokal Field,Montana,United States,America/Denver
