Aircraft Profile,Full Aircraft Name,Virtual Airlines,Maximum Range,Minimum Takeoff Runway Length,Minimum Landing Runway Length,Passenger Capacity,IATA Equipment Code(s),ETOPS Rating,Maximum Weight,Maximum Zero Fuel Weight,Maximum Takeoff Weight,Maximum Landing Weight,Engine Information,Cruise Speed,Fuel Flow,Base Fuel,Taxi Fuel,Primary Tanks,Primary Percentage,Secondary Tanks,Secondary Percentage,Other Tanks
L-188 Electra,Lockheed L-188 Electra,"AFV, DVA","2,200 Statute Miles","5,700 feet","3,700 feet",98 seats,LOE,,"119,000 pounds","92,340 pounds","113,000 pounds","98,100 pounds",4 x Allison 501 D-13 Turboprop,324 knots,697 pounds per engine per hour,"1,000 pounds",300 pounds,"Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
Martin 4-0-4,Martin 4-0-4,DVA,"1,080 Statute Miles","1,980 feet","1,750 feet",40 seats,M4,,"44,900 pounds","6,500 pounds","44,900 pounds","43,000 pounds",2 x Pratt & Whitney R-2800-CB16,250 knots,"1,000 pounds per engine per hour","1,000 pounds",100 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 100 percent before filling Other tanks,NONE
MD-11,McDonnell-Douglas MD-11,"AFV, DVA","7,710 Statute Miles","7,500 feet","6,000 feet",293 seats,M11,,"633,500 pounds","461,300 pounds","630,500 pounds","491,500 pounds",3 x GE CF6-80E,475 knots,"5,575 pounds per engine per hour","6,000 pounds","2,500 pounds","Left Main, Left Aux, Right Main, Right Aux",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,Center 2
MD-81,McDonnell-Douglas MD-81,DVA,"1,800 Statute Miles","6,200 feet","4,400 feet",150 seats,M81,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"141,000 pounds","118,000 pounds","140,000 pounds","128,000 pounds",2 x P&W JT8D-209,440 knots,"2,400 pounds per engine per hour","4,000 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
MD-82,McDonnell-Douglas MD-82,DVA,"2,100 Statute Miles","5,800 feet","4,400 feet",150 seats,M82,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"150,500 pounds","122,000 pounds","149,500 pounds","130,000 pounds",2 x P&W JT8D-217,440 knots,"2,400 pounds per engine per hour","4,000 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
MD-83,McDonnell-Douglas MD-83,DVA,"2,515 Statute Miles","6,000 feet","4,400 feet",150 seats,M83,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"161,000 pounds","122,000 pounds","160,000 pounds","139,500 pounds",2 x P&W JT8D-219,440 knots,"2,400 pounds per engine per hour","4,000 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
MD-87,McDonnell-Douglas MD-87,DVA,"2,800 Statute Miles","6,000 feet","4,300 feet",139 seats,M87,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"150,500 pounds","112,000 pounds","149,500 pounds","130,000 pounds",2 x P&W JT8D-217C,440 knots,"2,400 pounds per engine per hour","4,000 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
MD-88,McDonnell-Douglas MD-88,"AFV, DVA","2,400 Statute Miles","4,200 feet","3,500 feet",149 seats,"M80, M82, M83, M87, M88",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"161,000 pounds","122,000 pounds","149,500 pounds","139,500 pounds",2 x P&W JT8D-217,440 knots,"3,100 pounds per engine per hour","3,500 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
MD-90,McDonnell-Douglas MD-90,"AFV, DVA","2,400 Statute Miles","4,000 feet","3,600 feet",160 seats,M90,This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"157,000 pounds","132,000 pounds","157,000 pounds","142,000 pounds",2 x IAE V2525-D5,440 knots,"2,400 pounds per engine per hour","4,000 pounds","1,500 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
PA-31,Piper PA-31 310,"AFV, DVA","1,162 Statute Miles","2,290 feet","1,818 feet",6 seats,"PA-31, PA31",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"7,045 pounds","6,000 pounds","7,000 pounds","7,000 pounds",2 x Lycoming TIO-540-A,230 knots,185 pounds per engine per hour,200 pounds,20 pounds,"Left Main, Right Main",Fill to 98 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
S-307,Boeing S-307 Stratoliner,"AFV, DVA","2,390 Statute Miles","3,000 feet","3,000 feet",33 seats,"S-307, SA-307B, SB-307B",,"45,000 pounds","34,800 pounds","45,000 pounds","45,000 pounds",4 x Wright GR-1820 radial engines,230 knots,220 pounds per engine per hour,"2,000 pounds",100 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,NONE
S2000,S2000,"AFV, DVA","1,000 Statute Miles","1,300 feet","1,240 feet",54 seats,S20,,"50,704 pounds","20,000 pounds","50,704 pounds","47,400 pounds",2 x Rolls-Royce Allison AE-2100A,350 knots,882 pounds per engine per hour,"2,000 pounds",150 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
S340,SAAB S-340,"AFV, DVA","1,075 Statute Miles","4,299 feet","2,635 feet",34 seats,"SF3, SF34",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS60),"29,000 pounds","26,500 pounds","29,000 pounds","28,500 pounds",2 x GE CT7-9B,400 knots,400 pounds per engine per hour,900 pounds,25 pounds,Center,Fill to 0 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
SA227,Fairchild SA227 Metro,DVA,"1,000 Statute Miles",,,19 seats,"SA226, SA227, SA26, SWM",,"16,550 pounds","12,500 pounds","16,000 pounds","14,000 pounds",2 x Garrett AiResearch TPE-331,270 knots,500 pounds per engine per hour,900 pounds,25 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
SD-330,Shorts SD-330,DVA,915 Statute Miles,"1,850 feet","2,635 feet",30 seats,SH3,,"22,899 pounds","22,899 pounds","22,899 pounds","22,600 pounds",2 x P&W PT6A-45R,165 knots,"1,000 pounds per engine per hour","2,000 pounds",500 pounds,"Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
SD-360,Shorts SD-360,"AFV, DVA",670 Statute Miles,"1,850 feet","1,330 feet",36 seats,SH6,,"26,553 pounds","26,100 pounds","26,453 pounds","26,100 pounds",2 x PT6A-67R,350 knots,"1,000 pounds per engine per hour","2,500 pounds",700 pounds,"Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
Super Connie,Super Constellation,"AFV, DVA","4,718 Statute Miles","3,000 feet","3,000 feet",95 seats,1049,,"141,000 pounds","104,200 pounds","137,500 pounds","113,000 pounds",4 x Wright R-3350-DA-3,270 knots,700 pounds per engine per hour,"1,600 pounds",600 pounds,"Center 2, Center 3, Left Main, Right Main, External, External 2",Fill to 90 percent before filling Secondary tanks,"Center, Left Tip, Right Tip",Fill to 90 percent before filling Other tanks,NONE
Trimotor 5-AT,Ford Trimotor 5-AT,DVA,510 Statute Miles,"1,500 feet","1,500 feet",11 seats,"TRI, TRIM",,"13,500 pounds","12,750 pounds","13,500 pounds","13,500 pounds",3 x P&W Wasp,90 knots,100 pounds per engine per hour,100 pounds,15 pounds,Center,Fill to 95 percent before filling Secondary tanks,"Left Main, Right Main",Fill to 5 percent before filling Other tanks,NONE
TU-154,Tupolev Tu-154,DVA,"2,423 Statute Miles","7,500 feet","3,200 feet",131 seats,TU5,,"224,800 pounds","121,900 pounds","224,800 pounds","176,000 pounds",3 x Solokiev D-30K,520 knots,"3,900 pounds per engine per hour","13,000 pounds","1,200 pounds","Center, Left Main, Right Main",Fill to 99 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
